SiteFactID,SiteSourceID,Name,UDSNumber,Phone,Fax,AdminPhone,Site,Hours,MigrantHealth,CommunityHealth,SchoolBased,PublicHousing,Homeless,Address,City,State,ZIP,LocationSetting,LocationType,HealthCenterType,OperationalSchedule,OperatingCalendar,CountyFIPS,County,StateCountyFIPS,StateFIPS,State_Name,HHSRegion,BPHCAssignedNumber,SiteOpenDate,SiteAddtoScopeDate,lat,lon,filter_$
52,17B6E8D8-DA15-473D-808B-8B5BF7918D20,FRISCO CITY MEDICAL CENTER,04283L,251-267-3900,251-267-3909,251-578-1163,,40,N,Y,N,N,N,53 Mulberry St,Frisco City,AL,36445-4484,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,99,Monroe,1099,1,Alabama,Region IV,BPS-H80-003061,39114,39114,31.432237,-87.403797,1
61,14C4378B-8607-4884-B0CD-31667C7E8BF4,CULLMAN QUALITY HEALTH CARE,04412H,256-775-0230,256-735-0943,256-492-0131,www.qolhs.org,40,Y,Y,N,N,N,2016 Main Ave SW,Cullman,AL,35055-5239,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,43,Cullman,1043,1,Alabama,Region IV,BPS-H80-001134,36162,36162,34.146892,-86.848289,1
113,BE6042DE-AAFA-4002-B992-41EFBE9A2101,NORTHEAST ALABAMA HEALTH SERVICES INC. - FORT PAYNE,04571K,256-844-4975,256-844-4978,256-259-5313 x221,,40,N,Y,N,N,N,3840 Gault Ave N,Fort Payne,AL,35967-5211,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,49,DeKalb,1049,1,Alabama,Region IV,BPS-H80-007602,39727,39661,34.482484,-85.687429,1
278,5C8E914A-66B1-409C-8480-E0DD712EF80D,MAYSVILLE MEDICAL CENTER,04471C,251-471-3747,251-450-1445,251-434-8177,www.franklinprimary.org,40,Y,Y,N,Y,Y,1956 Duval St,Mobile,AL,36606-1145,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,97,Mobile,1097,1,Alabama,Region IV,BPS-H80-004963,33817,33817,30.663582,-88.086967,1
285,C2C60A2C-0E28-4AE1-9F59-2AF08F5ECDE1,CLANTON FAMILY HEALTH CENTER,04013G,205-755-3980 x461,205-755-0119,334-263-2301 x114,WWW.HSERVINC.ORG/LOCATIONS.HTM#1,20,N,Y,N,N,N,232 Town Mart 7th St,Clanton,AL,35045,All Other Clinic Types,Permanent,Service Delivery Site,Part-Time,Year-Round,21,Chilton,1021,1,Alabama,Region IV,BPS-H80-005983,37043,37043,32.83808,-86.640329,1
317,63276F8E-722E-4CFB-B94F-5C2E30B6D5F6,SARDIS CITY MEDICAL CENTER,04412C,256-593-2371,256-593-0857,256-492-0131,www.qolhs.org,43,Y,Y,N,N,N,1989 Sardis Dr,Boaz,AL,35956-2344,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,55,Etowah,1055,1,Alabama,Region IV,BPS-H80-002034,28500,28501,34.179338,-86.11059,1
396,27A6195C-E05C-47C6-8260-DE838B35E1AB,TOWN CREEK FAMILY PRACTICE,04218G,256-685-3336 x0,256-685-3370,256-381-3308 x0,,40,N,Y,N,N,N,1841 Al Highway 20,Town Creek,AL,35672-2500,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,79,Lawrence,1079,1,Alabama,Region IV,BPS-H80-004902,28915,29226,34.681476,-87.419707,1
432,63C3A418-372F-4582-B97F-70E4B57B2884,TRI COUNTY MEDICAL CENTER INC.,42830,251-578-1163,251-578-6963,251-578-1163,,40,N,Y,N,N,N,316 S Main St,Evergreen,AL,36401-3325,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,Full-Time,Year-Round,35,Conecuh,1035,1,Alabama,Region IV,BPS-H80-002488,29099,29099,31.42813,-86.942249,1
437,D1345424-DD88-4C85-B1D4-4FF120AC01C9,Family Health Care Clinic Inc. Rogersville,,256-247-3154,256-247-9760,601-825-7280,,40,N,Y,N,N,N,16410 U S Highway 72,Rogersville,AL,35652,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,77,Lauderdale,1077,1,Alabama,Region IV,BPS-H80-009348,40133,40241,34.822806,-87.288839,1
462,8C45BFC8-358F-4FEF-9F7A-7705FA334646,FRANKLIN MEDICAL MALL,04471E,251-432-4117,251-436-7765,251-434-8177,www.franklinprimary.org,65,Y,Y,N,Y,Y,1303 Dr Martin L King Jr Ave,Mobile,AL,36603-5341,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,Full-Time,Year-Round,97,Mobile,1097,1,Alabama,Region IV,BPS-H80-002617,37865,37865,30.699836,-88.064879,1
496,685DC641-8F2C-4C48-877B-BA32008738A7,LOXLEY FAMILY MEDICAL CENTER,04471G,251-964-4011,251-964-4012,251-434-8177,www.franklinprimary.org,40,Y,Y,N,Y,Y,1083 E Relham Ave,Loxley,AL,36551-2406,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,3,Baldwin,1003,1,Alabama,Region IV,BPS-H80-004102,35916,35916,30.622043,-87.752113,1
524,B91DCFA1-9299-4B2A-870F-7E4B8A54F3D1,BIBB COUNTY JAIL CLINIC,04245M,205-926-9581,205-345-3993,205-349-3250 x3013,www.whatleyhealth.org,8,N,Y,N,N,Y,121 Court Sq W,Brent,AL,35034,Correctional Facility,Permanent,Service Delivery Site,Part-Time,Year-Round,7,Bibb,1007,1,Alabama,Region IV,BPS-H80-006625,38565,38565,32.943343,-87.240027,1
572,85B45BBA-E46B-465F-AC48-82B5DBF46FFB,BIRMINGHAM HEALTH CARE INC.,41960,205-212-5600,205-212-5660,205-212-5600,www.biminghamhealthcare.org,40,N,Y,N,Y,Y,1600 20th St S,Birmingham,AL,35205-4998,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,Full-Time,Year-Round,73,Jefferson,1073,1,Alabama,Region IV,BPS-H80-002885,31050,31050,33.496743,-86.792769,1
582,BE27621A-C491-46E7-9052-6A4DABB52A62,BLOUNT COUNTY QUALITY HEALTH CARE,04412F,205-274-9799,205-274-9794,256-492-0131,www.qolhs.org,40,Y,Y,N,N,N,1000 Lincoln Ave,Oneonta,AL,35121-2534,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,9,Blount,1009,1,Alabama,Region IV,BPS-H80-002354,39173,39251,33.95719,-86.465895,1
701,AE70C054-8BB4-46AC-BBB7-AA8B8BA745F4,TUSCALOOSA COUNTY JAIL,04245K,205-469-0805,205-343-9127,205-349-3250,www.whatleyhealth.org,126,N,Y,N,N,Y,1614 26th Ave,Tuscaloosa,AL,35401-4536,Correctional Facility,Permanent,Service Delivery Site,Full-Time,Year-Round,125,Tuscaloosa,1125,1,Alabama,Region IV,BPS-H80-003714,37813,37813,33.198433,-87.566447,1
766,BD472A7D-ED66-4882-87F1-FBCDF3307FB2,CONECUH COUNTY DETENTION CENTER,04283K,251-578-1163,251-578-6963,251-578-1163,,8,N,Y,N,N,N,101 Liberty St,Evergreen,AL,36401-2840,Correctional Facility,Permanent,Service Delivery Site,Part-Time,Year-Round,35,Conecuh,1035,1,Alabama,Region IV,BPS-H80-007476,38118,38118,31.435503,-86.954741,1
847,292D2062-8820-4AA0-905C-EACE6EDD0D33,RAMER HEALTH CENTER,04013A,334-562-3229 x445,334-562-9060,334-420-5001 x114,WWW.HSERVINC.ORG/LOCATIONS.HTM#1,40,N,Y,N,N,N,5422 State Highway 94,Ramer,AL,36069-5008,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,101,Montgomery,1101,1,Alabama,Region IV,BPS-H80-005191,29738,29738,32.052147,-86.218907,1
932,CAE1E4BE-44B3-4EA0-9BB9-1BBDAFA47264,GOLDWIRE HOUSING UNITS,04196V,205-212-5600,205-453-0935,205-212-5660,www.biminghamhealthcare.org,,N,Y,N,Y,Y,149A-15 Ave SW,Birmingham,AL,,Unknown,Permanent,Administrative,Full-Time,Year-Round,73,Jefferson,1073,1,Alabama,Region IV,BPS-H80-000640,36900,36900,33.520295,-86.811504,1
981,529A45B5-A5AE-4C44-A612-AAC8CC45304A,Franklin Medical and Dental Express,04470C,251-432-4117,251-436-7765,251-434-8177,www.franklinprimary.org,40,Y,Y,N,Y,Y,1303 Dr Martin L King Jr Ave,Mobile,AL,36603-5341,All Other Clinic Types,Mobile Van,Service Delivery Site,Full-Time,Year-Round,97,Mobile,1097,1,Alabama,Region IV,BPS-H80-003720,39630,39264,30.699836,-88.064879,1
1003,7E1C32D3-D8B8-4FC4-AD87-81C52CA6CAB8,BREWTON DENTAL CLINIC,04283G,251-809-3925,251-809-6058,251-578-1163,,40,N,Y,N,N,N,1115 Azalea Pl,Brewton,AL,36426-1318,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,53,Escambia,1053,1,Alabama,Region IV,BPS-H80-002863,37316,37316,31.12612,-87.07388,1
1086,A5BFD521-FC56-482F-BC47-CA931438B1C4,MOSTELLAR MEDICAL CENTER,04470B,251-824-2174,251-824-9654,251-824-2174 x275,mostellarmedical.org,40,N,Y,N,N,N,12701 Padgett Switch Rd,Bayou La Batre,AL,36509,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,97,Mobile,1097,1,Alabama,Region IV,BPS-H80-004489,34704,34704,30.42346,-88.243239,1
1160,AF5C33E0-47DA-4F8F-8C2A-20123D3C4DEC,J.R. Thomas Wellness Fitness and Rehabilitation Center,,251-432-4117,,251-434-8177,,,Y,Y,N,Y,Y,1361 Dr Martin L King Jr Ave,Mobile,AL,36603-5341,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,97,Mobile,1097,1,Alabama,Region IV,BPS-H80-009547,,40345,30.700568,-88.066981,1
